Year.and.Quarter,Parameter,EPA.Region,Facility.Name,Oris.Code,Location.ID,Unit.Type,Primary.Fuel,Secondary.Fuel,Unit.Size,Unit.of.measurement,System.Identifier,Test.Number,RATA.Date,Op.Level.Code,Test.Reason.Code,CO2.O2.Reference.Method.Code,Reference.Method.Code,WAF,Default.WAF,Number.of.Load.Level,Relative.Accuracy,Overall.Bias.Adjustment.Factor,Bias.Adjustment.Factor,Average.Gross.Unit.Load,Confidence.Coefficient,Standard.Deviation.of.Difference,T.Value,Mean.Diff,Mean.CEM.Value,Mean.RATA.Reference,RATA.Frequency
20141,CO2,4,Barry,3,MS4A,T,C,PNG,400,MW,AB3,201403180711AB3,3/18/2014,H,QA,,3A,,,1,1.52,1,1,354,0.174,0.23,2.306,0.008,11.968,11.976,4QTRS
20141,CO2,4,Barry,3,MS4B,T,C,PNG,400,MW,ABH,201403190737ABH,3/19/2014,H,QA,,3A,,,1,3.04,1,1,357,0.023,0.03,2.306,0.33,11.27,11.6,4QTRS
20141,CO2,4,Barry,3,MS5C,T,C,PNG,800,MW,AD8,201402181002AD8,2/18/2014,H,RECERT,,3A,,,1,1.73,1,1,772,0.148,0.19,2.306,0.046,11.164,11.21,4QTRS
20141,CO2,4,E C Gaston,26,MS5A,T,C,DSL,963,MW,CC8,201402251019CC8,2/25/2014,H,RECERT,,3A,,,1,7.33,1,1,893,0.048,0.06,2.306,0.8,10.8,11.61,4QTRS
20141,CO2,4,Colbert,47,CSCO14,DB,C,,800,MW,300,300-Q1-2014-001,1/15/2014,M,QA,,3A,,,1,3.69,1,1,381,0.041,0.05,2.306,-0.244,7.967,7.722,4QTRS
20141,CO2,4,Widows Creek,50,7,T,C,,575,MW,300,300-Q1-2014-001,3/5/2014,H,QA,,3A,,,1,2.26,1,1,431,0.054,0.07,2.306,-0.167,9.967,9.8,4QTRS
20141,CO2,4,Widows Creek,50,8,T,C,,558,MW,300,300-Q1-2014-002,3/11/2014,M,QA,,3A,,,1,4.27,1,1,333,0.046,0.06,2.306,-0.289,8.144,7.856,4QTRS
20141,CO2,4,Cross,130,3,T,C,DSL,670,MW,3,003-Q1-2014-001,3/3/2014,M,QA,,3A,,,1,6.48,1,1,501,0.128,0.17,2.306,-0.556,11.111,10.556,4QTRS
20141,CO2,1,Bridgeport Harbor Station,568,BHB3,T,C,"OIL,DSL",410,MW,P33,P33-Q1-2014-002,2/20/2014,H,QA,,3A,,,1,4.81,1,1,399,0.067,0.09,2.306,0.567,12.589,13.156,4QTRS
20141,CO2,4,Crystal River,628,4,DB,C,,800,MW,409,CR4-RCO2-0214,3/7/2014,H,QA,,3A,,,1,1.03,1,1,671,0.067,0.09,2.306,0.033,9.644,9.678,4QTRS
