Year.and.Quarter,Parameter,EPA.Region,Facility.Name,Oris.Code,Location.ID,Unit.Type,Primary.Fuel,Secondary.Fuel,Unit.Size,Unit.of.measurement,System.Identifier,Test.Number,RATA.Date,Op.Level.Code,Test.Reason.Code,CO2.O2.Reference.Method.Code,Reference.Method.Code,WAF,Default.WAF,Number.of.Load.Level,Relative.Accuracy,Overall.Bias.Adjustment.Factor,Bias.Adjustment.Factor,Average.Gross.Unit.Load,Confidence.Coefficient,Standard.Deviation.of.Difference,T.Value,Mean.Diff,Mean.CEM.Value,Mean.RATA.Reference,RATA.Frequency
20141,H2OM,3,Gilberton Power Company,10113,CS001,CFB,CRF,,850,KLBHR,210,210-Q2-2014-001,3/12/2014,H,QA,,4,,,1,3.51,1,1,776,0.148,0.19,2.306,0.078,6.344,6.422,4QTRS
20142,H2OM,9,Irvington Generating Station,126,4,DB,C,NNG,165,MW,443,67,6/11/2014,L,QA,,4,,,1,5.75,1,1,60,0.733,0.95,2.306,-0.067,13.989,13.922,4QTRS
20142,H2OM,9,Springerville Generating Station,8223,1,T,C,,450,MW,14,82,5/4/2014,H,QA,,4,,,1,3.24,1,1,352,0.153,0.23,2.228,-0.218,11.655,11.436,4QTRS
20142,H2OM,9,Springerville Generating Station,8223,2,T,C,,451,MW,14,83,6/26/2014,H,QA,,4,,,1,4.93,1,1,411,0.343,0.45,2.306,-0.378,14.989,14.611,4QTRS
20142,H2OM,9,Springerville Generating Station,8223,4,DB,C,DSL,470,MW,416,41,4/30/2014,H,QA,,4,,,1,10.86,1,1,445,0.497,0.65,2.306,-0.967,14.444,13.478,4QTRS
20142,H2OM,9,Springerville Generating Station,8223,TS3,DB,C,DSL,460,MW,316,90,5/2/2014,H,QA,,4,,,1,3.33,1,1,423,0.301,0.39,2.306,-0.111,12.478,12.367,4QTRS
20142,H2OM,5,ArcelorMittal USA - Indiana Harbor East,10474,CS5,DB,PRG,NNG,1124,KLBHR,5,005-Q2-2014-001,4/15/2014,H,QA,,4,,,1,5.5,1,1,970,0.33,0.49,2.228,0.009,6.155,6.164,OS
20142,H2OM,4,US Steel (Fairfield Works),50730,208,DB,PRG,PNG,300,KLBHR,H2O,H2O-Q2-2014-003,5/2/2014,L,QA,,4,,,1,9.86,1,1,56,0.346,0.45,2.306,-0.267,6.478,6.211,OS
20142,H2OM,4,US Steel (Fairfield Works),50730,209,T,PRG,PNG,495,KLBHR,H2O,H2O-Q2-2014-002,4/29/2014,M,QA,,4,,,1,2.49,1,1,326,0.144,0.19,2.306,0.067,8.389,8.456,OS
20142,H2OM,4,US Steel (Fairfield Works),50730,210,T,PRG,PNG,495,KLBHR,H2O,H2O-Q2-2014-001,4/7/2014,M,QA,,4,,,1,10.3,1,1,325,0.615,0.8,2.306,0.289,8.489,8.778,OS
20142,H2OM,3,Panther Creek Energy Facility,50776,1,CFB,C,,410,KLBHR,131,131-Q2-2014-001,4/10/2014,H,QA,,4,,,1,4.3,1,1,382,0.134,0.17,2.306,0.144,6.322,6.467,4QTRS
20142,H2OM,3,Panther Creek Energy Facility,50776,2,CFB,C,,410,KLBHR,231,231-Q2-2014-001,4/11/2014,H,QA,,4,,,1,3.94,1,1,380,0.139,0.18,2.306,-0.133,7.033,6.9,4QTRS
20143,H2OM,2,"Black River Generation, LLC",10464,CS-1,CFB,W,"OSF,PTC,TDF",600,KLBHR,S15,RATA-Q32014-S15-6,8/27/2014,H,QA,,4,,,1,3.71,1,1,541,0.284,0.37,2.306,0.478,20.089,20.567,4QTRS
20144,H2OM,1,J C McNeil,589,1,OB,W,"DSL,PNG",60,MW,109,4Q2014-109,10/8/2014,H,QA,,4,,,1,3.4,1,1,56,0.663,0.86,2.306,-0.022,20.189,20.167,4QTRS
20144,H2OM,6,John W. Turk Jr. Power Plant,56564,SN-01,DB,C,,800,MW,HT3,HT3-Q4-2014-1,11/20/2014,H,QA,,4,,,1,1.32,1,1,632,0.109,0.14,2.306,-0.067,13.344,13.278,4QTRS
20151,H2OM,3,Gilberton Power Company,10113,CS001,CFB,CRF,,850,KLBHR,210,210-Q1-2015-001,3/10/2015,H,QA,,4,,,1,7.22,1,1,782,0.277,0.36,2.306,0.267,7.267,7.533,4QTRS
20151,H2OM,3,Panther Creek Energy Facility,50776,1,CFB,C,,410,KLBHR,131,131-Q1-2015-001,3/31/2015,H,QA,,4,,,1,8.44,1,1,382,0.324,0.42,2.306,0.233,6.367,6.6,4QTRS
20151,H2OM,3,Virginia City Hybrid Energy Center,56808,1,CFB,C,"CRF,W",2300,KLBHR,190,019-Q1-2015-001,3/20/2015,H,QA,,4,,,1,2.82,1,1,2064,0.133,0.17,2.306,0.133,9.311,9.444,4QTRS
20151,H2OM,3,Virginia City Hybrid Energy Center,56808,2,CFB,C,"CRF,W",2300,KLBHR,290,020-Q1-2015-001,3/25/2015,H,QA,,4,,,1,5.88,1,1,2173,0.146,0.19,2.306,0.511,10.667,11.178,4QTRS
20152,H2OM,9,Irvington Generating Station,126,4,DB,C,NNG,165,MW,443,73,6/24/2015,L,QA,,4,,,1,11.7,1,1,65,0.684,0.89,2.306,-0.3,8.711,8.411,2QTRS
20152,H2OM,5,Rockport,6166,CS012,DB,C,,3000,MW,HT3,HT3-Q2-2015-1,5/20/2015,H,INITIAL,,4,,,1,4.44,1,1,2751,0.131,0.18,2.262,0.37,10.91,11.28,4QTRS
20152,H2OM,9,Springerville Generating Station,8223,1,T,C,,450,MW,14,87,5/13/2015,H,QA,,4,,,1,7.33,1,1,411,0.336,0.44,2.306,-0.611,13.533,12.922,4QTRS
20152,H2OM,9,Springerville Generating Station,8223,2,T,C,,451,MW,14,85,5/11/2015,H,QA,,4,,,1,2.91,1,1,410,0.299,0.39,2.306,-0.111,14.211,14.1,4QTRS
20152,H2OM,9,Springerville Generating Station,8223,4,DB,C,DSL,470,MW,416,45,5/9/2015,H,QA,,4,,,1,6.37,1,1,438,0.24,0.31,2.306,-0.644,14.544,13.9,4QTRS
20152,H2OM,9,Springerville Generating Station,8223,TS3,DB,C,DSL,460,MW,316,95,5/6/2015,H,QA,,4,,,1,6.7,1,1,430,0.114,0.15,2.306,0.878,13.933,14.811,4QTRS
20152,H2OM,5,ArcelorMittal USA - Indiana Harbor East,10474,CS5,DB,PRG,NNG,1124,KLBHR,5,005-Q2-2015-001,5/28/2015,H,QA,,4,,,1,3.39,1,1,939,0.286,0.37,2.306,-0.011,8.778,8.767,OS
20152,H2OM,3,Panther Creek Energy Facility,50776,2,CFB,C,,410,KLBHR,231,231-Q2-2015-001,4/2/2015,H,QA,,4,,,1,3.74,1,1,383,0.154,0.2,2.306,-0.1,6.878,6.778,4QTRS
20153,H2OM,2,"Black River Generation, LLC",10464,CS-1,CFB,W,"OSF,PTC,TDF",600,KLBHR,S15,RATA-Q32015-S15-32,8/26/2015,H,QA,,4,,,1,7.23,1,1,497,0.189,0.25,2.306,-1.344,22.556,21.211,4QTRS
20153,H2OM,4,US Steel (Fairfield Works),50730,208,DB,PRG,PNG,300,KLBHR,H2O,H2O-Q3-2015-003,7/21/2015,L,QA,,4,,,1,6.02,1,1,58,0.856,1.2,2.262,0.05,15,15.05,OS
20153,H2OM,4,US Steel (Fairfield Works),50730,209,T,PRG,PNG,495,KLBHR,H2O,H2O-Q3-2015-001,7/10/2015,M,QA,,4,,,1,6.43,1,1,348,0.284,0.37,2.306,0.389,10.067,10.456,OS
20153,H2OM,4,US Steel (Fairfield Works),50730,210,T,PRG,PNG,495,KLBHR,H2O,H2O-Q3-2015-002,7/15/2015,M,QA,,4,,,1,5.21,1,1,298,0.55,0.72,2.306,-0.189,14.356,14.167,OS
20153,H2OM,4,US Steel (Fairfield Works),50730,210,T,PRG,PNG,495,KLBHR,H2O,H2O-Q3-2015-004,7/28/2015,M,RECERT,,4,,,1,5.83,1,1,292,0.392,0.51,2.306,0.244,10.678,10.922,OS
20154,H2OM,1,J C McNeil,589,1,OB,W,"DSL,PNG",60,MW,109,4Q2015-109,10/20/2015,H,QA,,4,,,1,3.77,1,1,57,0.217,0.28,2.306,0.578,20.489,21.067,4QTRS
20161,H2OM,7,Sibley,2094,CS0001,C,C,,521,MW,108,108-Q1-2016-001,2/24/2016,M,INITIAL,,4,,,1,2.74,1,1,339,0.209,0.27,2.306,0.079,10.432,10.511,4QTRS
20161,H2OM,3,Gilberton Power Company,10113,CS001,CFB,CRF,,850,KLBHR,210,210-Q1-2016-001,3/15/2016,H,QA,,4,,,1,3.92,1,1,788,0.176,0.23,2.306,0.067,6.133,6.2,4QTRS
20161,H2OM,6,John W. Turk Jr. Power Plant,56564,SN-01,DB,C,,800,MW,HT3,HT3-Q1-2016-1,1/19/2016,H,QA,,4,,,1,4.99,1,1,632,0.184,0.24,2.306,0.5,13.222,13.722,4QTRS
