Year.and.Quarter,Parameter,EPA.Region,Facility.Name,Oris.Code,Location.ID,Unit.Type,Primary.Fuel,Secondary.Fuel,Unit.Size,Unit.of.measurement,System.Identifier,Test.Number,RATA.Date,Op.Level.Code,Test.Reason.Code,CO2.O2.Reference.Method.Code,Reference.Method.Code,WAF,Default.WAF,Number.of.Load.Level,Relative.Accuracy,Overall.Bias.Adjustment.Factor,Bias.Adjustment.Factor,Average.Gross.Unit.Load,Confidence.Coefficient,Standard.Deviation.of.Difference,T.Value,Mean.Diff,Mean.CEM.Value,Mean.RATA.Reference,RATA.Frequency
20141,H2O,2,B L England,2378,3,DB,OIL,,170,MW,350,350-Q1-2014-001,1/8/2014,H,QA,,4,,,1,8.6,1,1,121,0.344,0.45,2.306,0.467,8.956,9.422,4QTRS
20141,H2O,2,Hudson Generating Station,2403,2,DB,C,PNG,660,MW,591,RATA-Q12014-591-2,2/24/2014,L,QA,,4,,,1,18.11,1,1,319,0.276,0.36,2.306,-1.489,11.233,9.744,2QTRS
20141,H2O,6,Air Liquide Bayport Complex,10298,CG802,CC,PNG,OGS,100,MW,M20,M20-14Q1-022514,2/25/2014,H,QA,,4,,,1,6.77,1,1,68,0.33,0.43,2.306,0.126,6.6,6.726,4QTRS
20141,H2O,6,Air Liquide Bayport Complex,10298,CG804,CC,PNG,OGS,100,MW,M40,M40-14Q1-22714R,2/27/2014,H,QA,,4,,,1,6.06,1,1,77,0.091,0.12,2.306,-0.358,7.76,7.402,4QTRS
20141,H2O,2,Carneys Point,10566,1001,DB,C,"DSL,OIL",1306,KLBHR,230,H2O-230-2014022415,2/24/2014,H,QA,,4,,,1,6.89,1,1,1233,0.317,0.41,2.306,0.6,12.711,13.311,4QTRS
20141,H2O,2,Carneys Point,10566,1002,DB,C,"DSL,OIL",1306,KLBHR,130,H2O-130-2014022117,2/21/2014,H,QA,,4,,,1,6.2,1,1,1207,0.684,0.89,2.306,0.156,13.389,13.544,4QTRS
20142,H2O,1,Schiller,2367,5,CFB,W,"C,PNG",50,MW,516,RATA-Q22014-516-6,5/9/2014,H,QA,,4,,,1,3.35,1,1,49,0.457,0.6,2.306,0.289,22,22.289,4QTRS
20142,H2O,6,Four Corners Steam Elec Station,2442,4,CB,C,,825,MW,M40,119,5/7/2014,H,QA,,4,,,1,3.19,1,1,785,0.348,0.45,2.306,-0.067,13.056,12.989,4QTRS
20142,H2O,6,Four Corners Steam Elec Station,2442,5,CB,C,,825,MW,M50,114,5/8/2014,H,QA,,4,,,1,2.78,1,1,768,0.252,0.33,2.306,-0.1,12.756,12.656,4QTRS
20142,H2O,2,Logan Generating Plant,10043,1001,DB,C,,1650,KLBHR,130,1301-2014052818,5/28/2014,L,QA,,4,,,1,3.63,1,1,469,0.168,0.22,2.306,-0.233,11.289,11.056,4QTRS
20142,H2O,6,Air Liquide Bayport Complex,10298,CG801,CC,PNG,OGS,100,MW,M10,M10-14Q2-140514,5/14/2014,H,QA,,4,,,1,4.36,1,1,78,0.125,0.16,2.306,-0.209,7.864,7.656,4QTRS
20142,H2O,5,ArcelorMittal Cleveland LLC,10398,B001,DB,PRG,"OIL,PNG",230,KLBHR,H2O,H2O-Q2-2014-002,4/3/2014,H,QA,,4,,,1,6.08,1,1,196,0.453,0.59,2.306,-0.056,8.422,8.367,OS
20142,H2O,5,ArcelorMittal Cleveland LLC,10398,B002,DB,PRG,"OIL,PNG",230,KLBHR,H2O,H2O-Q2-2014-004,5/22/2014,H,QA,,4,,,1,15.4,1,1,222,0.445,0.58,2.306,-0.278,4.967,4.689,OS
20142,H2O,5,ArcelorMittal Cleveland LLC,10398,B003,DB,PRG,"OIL,PNG",230,KLBHR,H2O,H2O-Q2-2014-001,4/1/2014,H,QA,,4,,,1,5.77,1,1,217,0.127,0.17,2.306,0.167,4.933,5.1,OS
