Year.and.Quarter,Parameter,EPA.Region,Facility.Name,Oris.Code,Location.ID,Unit.Type,Primary.Fuel,Secondary.Fuel,Unit.Size,Unit.of.measurement,System.Identifier,Test.Number,RATA.Date,Op.Level.Code,Test.Reason.Code,CO2.O2.Reference.Method.Code,Reference.Method.Code,WAF,Default.WAF,Number.of.Load.Level,Relative.Accuracy,Overall.Bias.Adjustment.Factor,Bias.Adjustment.Factor,Average.Gross.Unit.Load,Confidence.Coefficient,Standard.Deviation.of.Difference,T.Value,Mean.Diff,Mean.CEM.Value,Mean.RATA.Reference,RATA.Frequency
20141,NOXC,6,Big Brown,3497,1,T,C,,652,MW,N03,N03-Q1-2014-001,3/13/2014,H,QA,,7E,,,1,1.4,1.013,1.013,629,0.077,0.1,2.306,0.867,66.6,67.467,4QTRS
20141,NOXC,6,Big Brown,3497,2,T,C,,654,MW,N03,N03-Q1-2014-002,3/19/2014,H,QA,,7E,,,1,0.89,1,1,592,0.075,0.1,2.306,-0.522,67.744,67.222,4QTRS
20141,NOXC,2,"RED-Rochester, LLC-Eastman Business Park",10025,4B,T,C,DSL,650,KLBHR,4B4,4B4-Q1-2014-001,3/29/2014,L,QA,,7E,,,1,3.86,1,1,359,0.991,1.29,2.306,-6.922,212.056,205.133,4QTRS
20141,NOXC,5,Pixelle Specialty Solutions LLC,10244,B002,T,C,DSL,325,KLBHR,B2N,B2N1-2014021815,2/18/2014,H,QA,,7E,,,1,4.58,1.036,1.036,279,3.834,4.99,2.306,12.533,345.056,357.589,4QTRS
20141,NOXC,5,Pixelle Specialty Solutions LLC,10244,B003,WBF,C,DSL,400,KLBHR,B3N,B3N1-2014021916,2/19/2014,L,QA,,7E,,,1,6.93,1,1,301,0.951,1.24,2.306,-14.278,234,219.722,4QTRS
20141,NOXC,6,Air Liquide Bayport Complex,10298,CG802,CC,PNG,OGS,100,MW,N20,N20-14Q1-022514,2/25/2014,H,QA,,7E,,,1,2.33,1,1,68,0.15,0.2,2.306,0.109,11.018,11.127,4QTRS
20141,NOXC,6,Air Liquide Bayport Complex,10298,CG804,CC,PNG,OGS,100,MW,N40,N40-14Q1-22714R,2/27/2014,H,QA,,7E,,,1,2.41,1,1,77,0.131,0.17,2.306,-0.155,12.067,11.911,4QTRS
20141,NOXC,4,"Edgecombe Genco, LLC",10384,CS001,S,C,TDF,600,KLBHR,M10,10384-115-2014,2/21/2014,L,QA,,7E,,,1,2.46,1,1,110,2.167,2.82,2.306,1.687,154.844,156.531,4QTRS
20141,NOXC,4,"Edgecombe Genco, LLC",10384,CS002,S,C,TDF,600,KLBHR,M20,10384-215-2014,2/21/2014,L,QA,,7E,,,1,3.54,1,1,112,1.126,1.46,2.306,-3.278,127.644,124.366,4QTRS
20141,NOXC,2,Carneys Point,10566,1001,DB,C,"DSL,OIL",1306,KLBHR,200,NOX-200-2014022415,2/24/2014,H,QA,,7E,,,1,3.74,1,1,1233,1.898,2.47,2.306,0.978,75.833,76.811,4QTRS
