Year.and.Quarter,Parameter,EPA.Region,Facility.Name,Oris.Code,Location.ID,Unit.Type,Primary.Fuel,Secondary.Fuel,Unit.Size,Unit.of.measurement,System.Identifier,Test.Number,RATA.Date,Op.Level.Code,Test.Reason.Code,CO2.O2.Reference.Method.Code,Reference.Method.Code,WAF,Default.WAF,Number.of.Load.Level,Relative.Accuracy,Overall.Bias.Adjustment.Factor,Bias.Adjustment.Factor,Average.Gross.Unit.Load,Confidence.Coefficient,Standard.Deviation.of.Difference,T.Value,Mean.Diff,Mean.CEM.Value,Mean.RATA.Reference,RATA.Frequency
20141,SO2,4,Barry,3,MS4A,T,C,PNG,400,MW,AB1,201403180711AB1,3/18/2014,H,QA,NA,6C,NA,NA,1,1.53,1,1,354,1.754,2.28,2.306,-3.42,340.88,337.46,4QTRS
20141,SO2,4,Barry,3,MS4B,T,C,PNG,400,MW,ABF,201403190737ABF,3/19/2014,H,QA,NA,6C,NA,NA,1,1.03,1.006,1.006,357,1.481,1.93,2.306,1.99,336.27,338.26,4QTRS
20141,SO2,4,Barry,3,MS5C,T,C,PNG,800,MW,AD6,201402181002AD6,2/18/2014,H,RECERT,NA,6C,NA,NA,1,9.87,1,1,772,0.132,0.17,2.306,-0.628,8.329,7.701,4QTRS
20141,SO2,4,E C Gaston,26,MS5A,T,C,DSL,963,MW,CC6,201402251019CC6,2/25/2014,H,RECERT,NA,6C,NA,NA,1,8.77,1.071,1.071,893,0.516,0.72,2.262,1.64,22.92,24.56,4QTRS
20141,SO2,4,Colbert,47,CSCO14,DB,C,,800,MW,100,100-Q1-2014-001,1/15/2014,M,QA,NA,6C,NA,NA,1,0.22,1,1,381,0.369,0.48,2.306,-0.056,192.944,192.889,4QTRS
20141,SO2,4,Widows Creek,50,7,T,C,,575,MW,100,100-Q1-2014-001,3/5/2014,H,QA,NA,6C,NA,NA,1,2.91,1.018,1.018,431,1.321,1.72,2.306,2.189,118.378,120.567,4QTRS
20141,SO2,4,Widows Creek,50,8,T,C,,558,MW,100,100-Q1-2014-002,3/11/2014,M,QA,NA,6C,NA,NA,1,3.47,1,1,333,0.641,0.83,2.306,-2.433,91.133,88.7,4QTRS
20141,SO2,4,Cross,130,3,T,C,DSL,670,MW,1,001-Q1-2014-001,3/3/2014,M,QA,NA,6C,NA,NA,1,8.6,1,1,501,0.416,0.54,2.306,-1,17.456,16.456,4QTRS
20141,SO2,1,Bridgeport Harbor Station,568,BHB3,T,C,"OIL,DSL",410,MW,P31,P31-Q1-2014-001,2/20/2014,H,QA,NA,6C,NA,NA,1,0.99,1,1,399,0.704,0.92,2.306,-0.189,90.8,90.611,4QTRS
20141,SO2,4,Crystal River,628,4,DB,C,,800,MW,410,CR4-RSO2-0214,3/7/2014,H,QA,NA,6C,NA,NA,1,6.38,1,1,671,0.79,1.03,2.306,0.1,13.844,13.944,4QTRS
